#continuous	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
conditions	EXP0	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25	EXP26	EXP27	EXP28	EXP29	EXP30	EXP31	EXP32	EXP33	EXP34	EXP35	EXP36	EXP37	EXP38	EXP39	EXP40	EXP41	EXP42	EXP43	EXP44	EXP45	EXP46	EXP47	EXP48	EXP49	EXP50	EXP51	EXP52	EXP53	EXP54	EXP55	EXP56	EXP57	EXP58	EXP59	EXP60	EXP61	EXP62	EXP63	EXP64	EXP65	EXP66	EXP67	EXP68	EXP69	EXP70	EXP71	EXP72	EXP73	EXP74	EXP75	EXP76	EXP77	EXP78	EXP79	EXP80	EXP81	EXP82	EXP83	EXP84	EXP85	EXP86	EXP87	EXP88	EXP89	EXP90	EXP91	EXP92	EXP93	EXP94	EXP95	EXP96	EXP97	EXP98	EXP99
G1	0.063768743	0.053391895	0.409612629	0.089684888	0.282680247	0.330715405	0.400600956	0.244935248	0.446677096	0.022267607	0.002787348	0.080450357	0.846936639	0.040215507	0.59657496	0.556471517	0.072539631	0.901897179	0.468156597	0.803304023	0.447641593	0.49303659	0.531166628	0.376780547	0.836177884	0.502969067	0.866557233	0.143757721	0.885922017	0.125428207	0.624641157	0.012047461	0.631622741	0.282213488	0.645572639	0.377152932	0.331516482	0.868042644	0.852204634	0.84930942	0.694550087	0.063171794	0.094085199	0.456387162	0.972031473	0.809241381	0.435707701	0.027035101	0.029712824	0.144869252	0.555592932	0.715246947	0.452062614	0.065614146	0.425378443	0.419516104	0.331326523	0.218368603	0.739857343	0.834631665	0.358509317	0.659123713	0.414173379	0.222115237	0.340216887	0.819859443	0.494340342	0.431082468	0.367652506	0.419352282	0.870284158	0.032067166	0.680090985	0.132841915	0.065442639	0.475918394	0	0.570383781	0.823972561	0.844071536	0.232114088	0.260591077	0.613459875	0.055542449	0.821086251	0.434702775	0.830998012	0.913832645	0.441974236	0.043299239	0.095423035	0.077219655	0.309988513	0.19991129	0.638024384	0.581929067	0.76623221	0.218508932	0	0.029236243
G2	0.931040554	0.055070419	0.434281859	0.115383751	0.279688887	0.337825825	0.44381236	0.276549776	0.403520518	0.019601607	0.010160935	0.171846908	0.85946959	0.022365502	0.58289908	0.538694622	0.069519966	0.832860291	0.485973794	0.846255388	0.430571709	0.378796219	0.458887399	0.437126855	0.67980462	0.39265303	0.870198408	0.097733244	0.862993868	0.087049532	0.77291025	0.084013944	0.540999998	0.314794007	0.588928041	0.354601005	0.336095979	0.857816584	0.866718444	0.88514606	0.721007023	0.132650315	0.042150189	0.436337713	0.865549044	0.883394888	0.434538227	0	0.116724383	0.098278734	0.585092031	0.715099342	0.537696339	0.063109448	0.443123019	0.470886153	0.382038632	0.301752383	0.68447328	0.833424566	0.271080879	0.6680647	0.427952158	0.14203157	0.33685881	0.843638897	0.453320832	0.406866383	0.345043268	0.416584954	0.826774512	0.084409039	0.617945731	0.165630806	0.027950279	0.446931107	0.143792032	0.526720588	0.883753887	0.852582159	0.255764387	0.190046648	0.582397551	0.048213596	0.846074538	0.371679168	0.866606947	0.859836441	0.406947356	0.013831479	0.027886156	0.097167641	0.339351494	0.279960126	0.614528619	0.44376232	0.826872587	0.238825237	0	0.042033822
G3	0.859576283	0.807565542	0	0.81356066	0.407190488	0.517431087	0.431588127	0.405657294	0.425784625	0.067486997	0.044103204	0.114458403	0.834109359	0.037515061	0.544600084	0.500127418	0.091948821	0.88036208	0.462282332	0.825496662	0.384862704	0.401094374	0.408264462	0.35419318	0.841608364	0.488143866	0.861751018	0.224731441	0.913708988	0.095070791	0.765988774	0	0.574535488	0.354892102	0.623057646	0.373533932	0.265691355	0.861825838	0.810128786	0.80518317	0.614700136	0.003872353	0.127631305	0.514755225	0.914496059	0.843249487	0.409819214	0.059900031	0.001201565	0	0.574142801	0.761507401	0.510255981	0.164161985	0.448239113	0.443315199	0.39115029	0.302632521	0.753141615	0.887055914	0.348252239	0.657539261	0.501533292	0.161365021	0.403386871	0.809066648	0.478890844	0.380125727	0.423460704	0.359656828	0.809315227	0.088364985	0.561475113	0.100826236	0.058353874	0.460015296	0.058793639	0.634766854	0.960521231	0.888756371	0.248951849	0.195686746	0.630522774	0.092936933	0.789644312	0.360892735	0.868809316	0.856023427	0.435302399	0	0.079311455	0.059057003	0.350913938	0.255017767	0.62217222	0.456023521	0.817093627	0.28519124	0.015254712	0.008427072
G4	0.796259342	0.882029865	0.008863197	0.009697369	0.361165789	0.558053591	0.464237416	0.335260041	0.49094385	0.0743989	0.051053521	0.130953161	0.753294276	0.007777284	0.577259375	0.435210294	0.077279727	0.795802229	0.39615345	0.788810421	0.522561479	0.349829857	0.453436224	0.43468534	0.731855813	0.470451859	0.869076031	0.148749075	0.868253819	0.095205309	0.833348593	0.033063501	0.501851964	0.193844888	0.643514506	0.365706	0.25079125	0.80337992	0.824067552	0.849011002	0.58745789	0.099579607	0.08023398	0.41376413	0.843732763	0.887514414	0.513343973	0.007927268	0.057315803	0.095414224	0.547357983	0.740926733	0.511430909	0.150163269	0.439575946	0.457918703	0.429080692	0.268247724	0.785791109	0.84268269	0.328026438	0.674289084	0.416195978	0.211586402	0.416318661	0.911595093	0.566964904	0.422614588	0.36835133	0.394058363	0.810509844	0.107366655	0.632776783	0.153639063	0.016068455	0.435327103	0	0.441127998	0.919547292	0.83123981	0.265942907	0.165152004	0.610301364	0.028881692	0.881871883	0.337178167	0.847408899	0.756163244	0.436037622	0.052816079	0.135599296	0.13367216	0.39463158	0.284290128	0.712320822	0.536060618	0.850714064	0.325801657	0	0.064043596
G5	0.824952488	0.811233065	0.478697104	0.7726647	0.007524786	0.089278983	0.364977906	0.105240586	0.470322735	0.025907426	0	0.187134466	0.877642434	0.049959546	0.565098737	0.495580905	0.094988241	0.817173509	0.470136483	0.767358709	0.458165715	0.455018027	0.529788222	0.398019344	0.729999631	0.526691102	0.85165576	0.170157622	0.969547145	0.143659197	0.839583229	0.086065986	0.609832074	0.283757649	0.748324131	0.380986857	0.271387543	0.792864958	0.791123573	0.846086089	0.521881809	0.051187462	0.12487463	0.417921052	0.843588705	0.840099463	0.48402475	0.004119777	0.020695631	0.086769485	0.480153843	0.675510039	0.573166239	0.220690161	0.543585407	0.427061698	0.469074522	0.255435296	0.770516042	0.814748271	0.34289412	0.597588309	0.425373704	0.148858632	0.397466696	0.867183253	0.497983056	0.424456949	0.409704532	0.35116924	0.861884534	0.159641205	0.598555156	0.097210205	0.071613345	0.426344732	0	0.668226045	0.848575928	0.868464072	0.330847071	0.148893497	0.608545895	0.082481368	0.815917581	0.508121706	0.865504577	0.913854244	0.471534852	0.007190366	0.088659689	0.152219002	0.254789164	0.259311436	0.623908643	0.452484921	0.833767229	0.26614518	0.01914443	0.012378561
G6	0.860196494	0.828106203	0.519052085	0.872064326	0.435277465	0	0.441233702	0.392214265	0.395150017	0	0	0.093834096	0	0.01527971	0.638067424	0.472557311	0.08317189	0.901661511	0.367741714	0.80470924	0.489769454	0.338920167	0.483997906	0.397774349	0.793287715	0.489081887	0.85182614	0.195365081	0.828367025	0.084074397	0.781373644	0.025181125	0.553907233	0.271024475	0.631173738	0.332820833	0.265151573	0.80817326	0.741285499	0.851794111	0.733233177	0.067900304	0.118206926	0.476107495	0.864219205	0.897066476	0.44186348	0.1213437	0.045642531	0.047776796	0.514996956	0.671413076	0.626275716	0.218991248	0.47719196	0.417132143	0.418793402	0.265160875	0.697432885	0.834099802	0.260170979	0.685274523	0.446245132	0.236275429	0.471812082	0.793957862	0.476867247	0.472553397	0.461860431	0.418200886	0.863354374	0.067654923	0.599415884	0.203645	0.166690663	0.394599259	0.047287461	0.637579366	0.765536538	0.853816437	0.215719104	0.242886745	0.588308661	0.129971119	0.863766267	0.319463442	0.823884941	0.874423828	0.473273092	0.059500548	0.042358047	0.064108207	0.380485453	0.269921645	0.618623598	0.466926358	0.817255769	0.222596408	0.01048257	0.026668671
G7	0.943562946	0.808219052	0.540982152	0.833967251	0.29286239	0.362705026	0	0.272512197	0.379437819	0.024819224	0.070522391	0.126565042	0.919494331	0.813134166	0.454363529	0.207060598	0.890315603	0.879326791	0.371650481	0.776771392	0.552218584	0.42311049	0.424341404	0.41904384	0.80305633	0.546773384	0.893053589	0.240201717	0.929021381	0.146828456	0.83553696	0	0.587344185	0.286939765	0.643905151	0.334124925	0.311299845	0.962431164	0.872990419	0.856146521	0.680545957	0.025296817	0.099159144	0.453028099	0.81306671	0.808849986	0.487498473	0.01655977	0.041889795	0.128418822	0.425915541	0.713848492	0.4594523	0.106955204	0.509987456	0.40963908	0.454404012	0.192113568	0.683296467	0.812573023	0.264082223	0.606198616	0.391937893	0.251074208	0.466467305	0.871422463	0.597019616	0.458511214	0.403599589	0.356902667	0.89603808	0.048557236	0.670310979	0.109058854	0.072539176	0.433766248	0.068864492	0.631160963	0.862468583	0.905112218	0.193118303	0.275077837	0.653011896	0	0.86743514	0.411440044	0.849865058	0.868778499	0.464594621	0.01014851	0.028964125	0.055185295	0.269856084	0.261900825	0.670898038	0.439096264	0.838754231	0.218893726	0.049402575	0
G8	0.862410127	0.86856814	0.582082793	0.787334711	0.4538223	0.539424945	0.387274418	0.025134331	0.412620439	0.052384219	0.688970697	0.108170739	0.840368478	0.053244356	0.590936126	0.52164186	0.052320289	0.820495349	0.443399639	0.819513099	0.376233808	0.467029462	0.472888602	0.455471372	0.747252507	0.449155707	0.862172889	0.270605033	0.950927547	0.108682842	0.799691198	0.082729787	0.546427943	0.333134753	0.672671752	0.417155302	0.279876233	0.864576958	0.772759319	0.8580351	0.611984527	0.057917813	0.10674292	0.508669588	0.7884447	0.90093157	0.454140943	0.027401185	0.066870586	0.119677081	0.574731775	0.684033318	0.455079129	0.055313944	0.475366205	0.409597356	0.362975291	0.27705786	0.772152268	0.837875738	0.316454205	0.647049109	0.427036996	0.188909532	0.446326693	0.819013808	0.451352433	0.478896246	0.388663946	0.373410981	0.883885527	0.004818514	0.530434096	0.171537274	0.032747513	0.536445547	0.020939933	0.612479915	0.828417156	0.758442296	0.265111027	0.217835815	0.614853583	0.048029451	0.804494604	0.437844512	0.828734865	0.855918845	0.402851954	0.021889955	0.112915049	0	0.332026328	0.28319637	0.57392258	0.401609846	0.81417911	0.318585876	0	0.060157919
G9	0.84852063	0.78378276	0.507923193	0.803021302	0.154379326	0.245959184	0.417656571	0.465041018	0.021778995	0.814548916	0	0.086550299	0.84079197	0.045061124	0.55623501	0.566704436	0.090250332	0.834566461	0.864408696	0.813424392	0.503119185	0.369136943	0.487382536	0.393349627	0.757147424	0.513801072	0.832096818	0.161388704	0.779849744	0.183649227	0.792402682	0.053014916	0.593761949	0.346486628	0.702848314	0.325182592	0.240771575	0.788153598	0.869671218	0.830824376	0.646349899	0.091850713	0.088408007	0.454562471	0.914645768	0.857608057	0.484185148	0.03972393	0	0.107762215	0.566983222	0.613186229	0.497268022	0.106540381	0.463192208	0.481344135	0.420109478	0.31240427	0.721884231	0.861100712	0.308899268	0.704910902	0.474051531	0.276415484	0.493070183	0.850685796	0.525261663	0.336408656	0.381367674	0.452660465	0.811021413	0.182672341	0.648714602	0.220692779	0.022682043	0.407625171	0.039068639	0.583699381	0.851317203	0.785634595	0.306358068	0.257491472	0.622450545	0.031728511	0.821449992	0.350334868	0.845053436	0.911488983	0.450817816	0.058694375	0.166255398	0.114032447	0.311568723	0.264073409	0.58835361	0.478789771	0.811889189	0.2945361	0	0
G10	0.825396812	0.78346112	0.567988701	0.792585384	0.49184715	0.439858893	0.489701297	0.348918866	0.421641774	0	0.012668918	0.148704295	0.885743634	0	0.623371092	0.467618366	0.023705288	0.794829404	0.417094661	0.832707846	0.454205401	0.351878723	0.473207181	0.448168359	0.784052768	0.4807567	0.853789112	0.064508942	0.83483178	0.111871562	0.767194366	0.011897332	0.490569805	0.215668703	0.710056037	0.412318889	0.299090706	0.905043866	0.843207718	0.863856328	0.533057143	0.086179168	0.108526779	0.360636388	0.814640054	0.860856685	0.488501936	0	0.029045538	0.033806037	0.450047996	0.76415252	0.511582895	0.171699008	0.468504962	0.424834213	0.411391585	0.298387863	0.704969968	0.889528616	0.295089264	0.567764967	0.397633108	0.20709957	0.387813062	0.826264311	0.488605967	0.491999075	0.489517345	0.404335703	0.866356599	0.143460228	0.551227335	0.148567272	0.086423891	0.415350724	0.031661189	0.680467623	0.866510333	0.824568065	0.290355499	0.210170406	0.684554309	0.086014662	0.80414415	0.385946821	0.929602447	0.851015153	0.438692026	0.036287527	0.060363848	0.118463042	0.354163195	0.235681049	0.645305815	0.449909889	0.850882051	0.194887717	0.073916054	0.022821883
